"conference","full_name","category","main_discipline","other_disciplines","organization","website"
"TACAS","International Conference on Tools and Algorithms for the Construction and Analysis of Systems","FMV","Formal Methods;Model Checking;Verification Tools","Static Analysis;Program Verification;Theorem Proving;Runtime Verification;Software Model Checking","TACAS Steering Committee","https://tacas.info/index.php"
"FM","International Symposium on Formal Methods","FMV","Formal Verification;Model Checking;Theorem Proving","Specification Languages;SMT/SAT Solving;Runtime Verification;Abstract Interpretation;Safety-Critical & Cyber-Physical Systems","Formal Methods Europe","https://www.fmeurope.org/symposia/"
"SIGGRAPH","ACM SIGGRAPH Conference (International Conference on Computer Graphics and Interactive Techniques)","Graphics","Computer Graphics;Interactive Techniques;Visualization","Virtual Reality;Augmented Reality;Computer Vision;Animation;Rendering;HCI","ACM SIGGRAPH","https://www.siggraph.org/siggraph-events/conferences/"
"SIGGRAPH Asia","ACM SIGGRAPH Conference and Exhibition on Computer Graphics and Interactive Techniques in Asia","Graphics","Computer Graphics;Interactive Techniques;Visualization","Virtual Reality;Augmented Reality;Simulation;Digital Art & Animation;AI & ML in Graphics","ACM SIGGRAPH","https://asia.siggraph.org/"
"Eurographics","Annual Conference of the European Association for Computer Graphics","Graphics","Computer Graphics;Visualization;Rendering & Geometric Processing","Animation & VR;Computer Games","European Association for Computer Graphics","https://www.eg.org/wp/"
"ICRA","IEEE International Conference on Robotics and Automation","Robotics","Autonomous Systems & Agents;Computer Vision for Robotics;Human-Robot Interaction","Autonomy for Mobility & Manipulation;Cognitive Robotics;Field Robotics;Human-Centered Robotics & Automation;Humanoids & Animaloids;Localization & Mapping;Logistics;Manipulation and Grasping;Manufacturing, Process & Service Automation;Dual Arm Manipulation;Mechanisms, Design, and Controal;Failure Detection & Recovery;Medical & Rehabilitation;Micro, Nano, & Biomimetic Systems;Multiple & Distributed Systems;Planning & Simulation;Theoretical Foundations;Vision & Sensor-Based Control;Omnidirectional Vision;Sensor Fusion;Visual Tracking;Visual Perception & Learning","IEEE RAS","https://www.ieee-ras.org/conferences-workshops/fully-sponsored/icra"
"IROS","IEEE/RSJ International Conference on Intelligent Robots and Systems","Robotics","Autonomous Robots;Autonomous Systems;Robot Perception & Sensing;Control, Planning & Motion","Human-Robot Interaction;Soft/bio-inspired Robotics;Multi-Robot;Distributed Systems;ML & AI in Robotics;Agriculture/Field/Mobile Outdoor Robots","IEEE RAS, Robotics Society of Japan","https://www.ieee-ras.org/conferences-workshops/financially-co-sponsored/iros"
"RSS","Robotics: Science and Systems","Robotics","Robot Learning;Motion Planning & Control;Perception & Sensing","Mapping & Localization;Manipulation & Grasping;Multi-robot Systems;Sim-to-real Transfer;Domain Adaptation","RSS Foundation","https://roboticsconference.org/"
"VIS","IEEE Visualization Conference","VIS","Information Visualization;Scientific Visualization;Visual Analytics","Human-Computer Interaction;Immersive Analytics;AR;VR;ML for Visualization;Data Storytelling;Narrative Visualization;Network Visualization","IEEE, IEEE CompSoc","https://ieeevis.org/"
"VR","IEEE Conference on Virtual Reality and 3D User Interfaces","VIS","Virtual Reality;3D User Interfaces;Mixed Reality;Augmented Reality","Immersive Environments;HCI;Visualization;Interaction Techniques","IEEE, IEEE CompSoc","https://ieeevr.org/"
"EuroVis","Eurographics Conference on Visualization","VIS","Visual Analytics;Information Visualization;Scientific Visualization","Interactive Visualization;Visual Encoding & Interaction;Large-Scale Visualization;Evaluation & Empirical Studies;Domain-Specific Visualization","Eurographics Association","https://www.eurovis.org/"
"SIGSPATIAL","ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems","DB","Geospatial Data Management;Spatial Databases & Spatial Computing;GIS and Location-Based Services","Spatial Data Mining;Spatial Analytics;Geospatial AI;ML for GIS;Spatiotemporal Data & Trajectories;Mapping & Visualization;Urban Computing;Mobility Analysis","ACM, ACM SIGSPATIAL","https://www.sigspatial.org/past-conferences/"
